iteration;totalMonetaryCost;totalPathCost;totalTimeCost;totalWeatherExtraTime;totalWeatherSafetyRiskKm;totalWeatherCost;totalShopCost;totalDepotCost;totalResourceCost;totalIncome;forgottenTaskCost;weight;time;unassigned_tasks;total_tasks;destroy;repair
24;21098.386;530.172;3622.907;58.438;231.913;1751.308;3660.0;0.0;15194.0;33147.002;5668.14;-6380.476;86.215;18;128;[1.467, 2.238, 1.18, 2.038, 1.0];[1.162, 1.162, 2.58]
25;21098.386;530.172;3622.907;58.438;231.913;1751.308;3660.0;0.0;15194.0;33147.002;5668.14;-6380.476;19.024;18;128;[1.467, 2.114, 1.18, 2.038, 1.0];[1.162, 1.162, 2.422]
26;21098.386;530.172;3622.907;58.438;231.913;1751.308;3660.0;0.0;15194.0;33147.002;5668.14;-6380.476;17.872;18;128;[1.467, 2.114, 1.18, 2.038, 1.0];[1.162, 1.162, 2.28]
27;20900.526;464.945;3405.485;59.613;207.166;1757.096;3636.0;0.0;15273.0;33147.002;5668.14;-6578.336;80.622;18;128;[1.72, 2.114, 1.18, 2.038, 1.0];[1.446, 1.162, 2.28]
28;20900.526;464.945;3405.485;59.613;207.166;1757.096;3636.0;0.0;15273.0;33147.002;5668.14;-6578.336;108.122;18;128;[1.648, 2.114, 1.18, 2.038, 1.0];[1.446, 1.146, 2.28]
29;20679.337;449.77;3354.899;62.369;201.068;1822.668;3374.4;0.0;15052.0;33147.002;5668.14;-6799.525;72.287;18;128;[1.648, 2.114, 1.18, 2.234, 1.0];[1.446, 1.431, 2.28]
30;20679.337;449.77;3354.899;62.369;201.068;1822.668;3374.4;0.0;15052.0;33147.002;5668.14;-6799.525;153.564;18;128;[1.648, 2.114, 1.18, 2.234, 1.0];[1.446, 1.388, 2.28]
31;20679.337;449.77;3354.899;62.369;201.068;1822.668;3374.4;0.0;15052.0;33147.002;5668.14;-6799.525;7.515;18;128;[1.648, 2.114, 1.18, 2.111, 1.0];[1.446, 1.388, 2.152]
32;20479.876;445.972;3342.24;58.541;196.588;1718.664;3636.0;0.0;14973.0;33147.002;5668.14;-6998.986;117.248;18;128;[1.883, 2.114, 1.18, 2.111, 1.0];[1.701, 1.388, 2.152]
33;20479.876;445.972;3342.24;58.541;196.588;1718.664;3636.0;0.0;14973.0;33147.002;5668.14;-6998.986;51.698;18;128;[1.883, 2.114, 1.18, 2.111, 1.0];[1.701, 1.349, 2.152]
